EVTDESC13000_NEWS_LONG;서구 문명의 바람이 동방에 불기 시작하면, 동양의 모든 초목이 서구의 바람이 가져오는 것을 따르게 됩니다. $COUNTRY$의 해안선 앞바다에 낯선 배들이 나타나기 시작했습니다. 신의 얼굴에 닿을 듯 높이 솟은 돛대를 가진 낯선 배들입니다. 처음에는 그저 호기심의 대상이었으나, 점차 자주 나타나기 시작하더니 돌풍이 폭풍으로 커지듯 거세지고 있습니다. 내일은 어찌 될까요? 그 배들도 낯설고, 그들이 가져오는 관습은 더욱 낯설지만, '유럽'에서 온 이방인들에 대한 정책이 채택되어야 한다는 사실에는 의심의 여지가 없습니다.
EVTDESC13000_NEWS_MEDIUM;$COUNTRY$의 해안선 앞바다에 낯선 배들이 나타나기 시작했습니다. 그 배들도 낯설고, 그들이 가져오는 관습은 더욱 낯설지만, '유럽'에서 온 이방인들에 대한 정책이 채택되어야 한다는 사실에는 의심의 여지가 없습니다.
EVTDESC13000_NEWS_SHORT;그 배들도 낯설고, 그들이 가져오는 관습은 더욱 낯설지만, '유럽'에서 온 이방인들에 대한 정책이 $COUNTRY$에서 채택되어야 한다는 사실에는 의심의 여지가 없습니다.
EVTDESC13100_NEWS_LONG;$COUNTRY$: 이방인들이 선을 넘었습니다! 그들의 선교사들은 거짓된 가르침을 퍼뜨려 우리 국민과 국가적 단결을 전복시키고 있으며, 우리의 관습을 파괴하고, 그들의 아편이 우리의 정신을 흐리게 하고 있습니다. 적어도 지난 몇 달 동안 반외세 정서가 고조되고 있는 $PROVINCENAME$의 사람들에게 묻는다면 이런 답변을 들을 수 있을 것입니다. 해로운 영향을 배제하기 위해 $PROVINCENAME$에서 외국 교역소가 철거될 것이며, 그들이 다시 돌아와 현지 주민들에게 거짓말과 독을 퍼뜨리는 것은 허용되지 않을 것입니다.
EVTDESC13100_NEWS_MEDIUM;$COUNTRY$: 이방인들이 선을 넘었습니다! 그들의 선교사들은 거짓된 가르침을 퍼뜨려 우리 국민과 국가적 단결을 전복시키고 있으며, 우리의 관습을 파괴하고, 그들의 아편이 우리의 정신을 흐리게 하고 있습니다. $PROVINCENAME$에서 반외세 정서가 고조되고 있습니다.
EVTDESC13100_NEWS_SHORT;$COUNTRY$: 이방인들이 선을 넘었습니다! 그들은 우리의 관습을 파괴하고, 그들의 아편이 우리의 정신을 흐리게 하고 있습니다. $PROVINCENAME$에서 반외세 정서가 고조되고 있습니다.
EVTDESC13120_NEWS_LONG;$COUNTRY$ 궁정을 교육하기 위해 고용된 유럽인 가정교사는 제 역할을 꽤 잘 해내고 있는 것 같지만, 그녀는 상당히 기묘한 사상들을 퍼뜨리고 있습니다. 예를 들어, 모든 인간은 평등하게 창조되었으며 $COUNTRY$이 오랜 전통인 노예제를 폐지해야 한다는 사상을 꽤나 거친 말로 주장하고 있습니다. 수 세기 동안 노예제에 익숙해진 현지인들에게는 이 사상이 위험한 것으로 들릴 수도 있습니다...
EVTDESC13120_NEWS_MEDIUM;$COUNTRY$ 궁정을 교육하기 위해 고용된 유럽인 가정교사는 제 역할을 꽤 잘 해내고 있는 것 같지만, 그녀는 상당히 기묘한 사상들을 퍼뜨리고 있습니다. 예를 들어, 모든 인간은 평등하게 창조되었다는 사상을 꽤나 거친 말로 주장하고 있습니다.
EVTDESC13120_NEWS_SHORT;$COUNTRY$ 궁정을 교육하기 위해 고용된 유럽인 가정교사는 제 역할을 꽤 잘 해내고 있는 것 같지만, 그녀는 상당히 기묘한 사상들을 퍼뜨리고 있습니다.
EVTDESC13230_NEWS_LONG;$COUNTRY$: 공사관 구역의 한 외국 대사가 최근 깨달은 바와 같이, $PROVINCENAME$의 거리를 홀로 떠도는 것은 위험한 일이 될 수 있습니다. 경비대원들은 새벽 4시에 그가 사망한 채 발견되었으며 강도를 당한 것으로 보인다고 보고했습니다. 하지만 외국인들은 지역 당국이 외교관을 보호할 책임을 다하지 못했다며 비난하고 있습니다. 지역 당국은 공식적인 사과만으로는 그들을 달래기에 충분하지 않을 것이라 우려하고 있으며, 더 실질적인 무언가가 필요할지도 모릅니다...
