#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
GER_fascist_dictatorship_ruler;총통;;;;;;;;;;;;x
GCF_fascist_dictatorship_ruler;총통;;;;;;;;;;;;x
PRU_fascist_dictatorship_ruler;총통;;;;;;;;;;;;x
SGF_fascist_dictatorship_ruler;총통;;;;;;;;;;;;x
NGF_fascist_dictatorship_ruler;총통;;;;;;;;;;;;x
USA_democracy_ruler;대통령 각하;;;;;;;;;;;;x
PAP_proletarian_dictatorship_ruler;추기경;;;;;;;;;;;;x
PAP_presidential_dictatorship_ruler;교황;;;;;;;;;;;;x
PAP_burgeois_dictatorship_ruler;교황;;;;;;;;;;;;x
PAP_fascist_dictatorship_ruler;교황;;;;;;;;;;;;x
PAP_absolute_monarchy_ruler;교황;;;;;;;;;;;;x
PAP_hms_government_ruler;교황;;;;;;;;;;;;x
PAP_prussian_constitutionalism_ruler;교황;;;;;;;;;;;;x
ALD_absolute_monarchy_ruler;술탄;;;;;;;;;;;;x
ALD_hms_government_ruler;술탄;;;;;;;;;;;;x
ALD_prussian_constitutionalism_ruler;술탄;;;;;;;;;;;;x
ARA_absolute_monarchy_ruler;술탄;;;;;;;;;;;;x
ARA_hms_government_ruler;술탄;;;;;;;;;;;;x
ARA_prussian_constitutionalism_ruler;술탄;;;;;;;;;;;;x
HDJ_absolute_monarchy_ruler;술탄;;;;;;;;;;;;x
HDJ_hms_government_ruler;술탄;;;;;;;;;;;;x
HDJ_prussian_constitutionalism_ruler;술탄;;;;;;;;;;;;x
NEJ_absolute_monarchy_ruler;술탄;;;;;;;;;;;;x
NEJ_hms_government_ruler;술탄;;;;;;;;;;;;x
NEJ_prussian_constitutionalism_ruler;술탄;;;;;;;;;;;;x
RUS_absolute_monarchy_ruler;차르;;;;;;;;;;;;x
RUS_hms_government_ruler;차르;;;;;;;;;;;;x
RUS_prussian_constitutionalism_ruler;차르;;;;;;;;;;;;x
